session_id,risk_score,risk_level,anomaly_label,log_count,cpu_avg,cpu_max,memory_avg,memory_max,disk_io_avg,disk_io_max,response_avg,response_max,latency_avg,latency_max,error_count_avg,warning_count_avg,failed_events,log_level_error,log_level_warn,component,event_type
blk_-8531310335568756456,0.8307,HIGH,1,32,88.03093750000001,100.0,79.5396875,91.06,135.6090625,189.08,1799.508125,3537.15,594.655625,902.37,4.96875,6.4375,18,0,15,datanode_service,service_error
blk_5777459062943260062,0.8158,HIGH,1,21,85.59380952380953,100.0,82.87,99.39,138.0909523809524,201.42,1870.3023809523809,3533.92,655.5590476190476,1230.7,5.380952380952381,6.428571428571429,3,0,0,datanode_service,disk_write
blk_3858821904894294369,0.8043,HIGH,1,33,89.26151515151516,100.0,81.61090909090909,93.94,137.35151515151517,192.62,1840.6339393939393,3236.76,607.4954545454545,1013.27,4.424242424242424,6.454545454545454,15,0,0,datanode_service,disk_write
blk_2035360809852889117,0.8012,HIGH,1,20,87.279,100.0,84.02250000000001,100.0,140.178,202.96,1738.2305000000001,3575.99,615.3399999999999,1054.19,5.4,6.35,4,0,1,namenode_service,block_operation
blk_7956543127401791181,0.7935,HIGH,1,32,88.6415625,100.0,82.254375,100.0,139.0215625,192.81,1784.6565625,2612.04,654.9459375,1009.03,4.71875,6.4375,18,0,15,datanode_service,service_error
blk_8867775509445445431,0.7909,HIGH,1,13,87.48384615384614,100.0,81.32615384615384,93.38,137.1676923076923,205.55,1919.5123076923078,3518.52,709.6384615384615,1189.11,5.0,6.923076923076923,3,0,0,packet_responder,disk_write
blk_4241467193520768333,0.7906,HIGH,1,35,85.34057142857144,100.0,82.962,100.0,139.66942857142857,194.48,1893.094285714286,2961.25,634.8497142857143,930.28,4.742857142857143,6.428571428571429,15,0,2,datanode_service,disk_write
blk_3947106522258141922,0.7885,HIGH,1,32,88.7946875,100.0,83.298125,94.73,134.3803125,206.08,1739.7609375,2601.71,711.8690625,986.35,5.21875,6.78125,18,0,15,datanode_service,service_error
blk_766399086471411315,0.7728,HIGH,1,13,87.60230769230769,98.76,80.06769230769231,100.0,130.99923076923076,172.21,2125.4776923076925,3309.16,606.95,1064.65,5.3076923076923075,7.076923076923077,3,0,0,packet_responder,disk_write
blk_-5424098422252438576,0.7714,HIGH,1,21,88.20142857142858,100.0,81.79904761904761,95.69,142.91809523809525,190.21,1928.307619047619,3247.11,622.64,1111.13,5.333333333333333,6.0,3,0,0,datanode_service,disk_write
blk_6778948312309528424,0.7703,HIGH,1,18,86.65444444444444,97.25,80.67611111111111,98.74,143.18944444444443,198.93,1810.2411111111112,3607.11,637.33,952.37,4.666666666666667,6.611111111111111,5,0,2,datanode_service,disk_write
blk_8555164537917099054,0.7681,HIGH,1,17,84.47529411764705,95.47,81.22470588235294,94.66,149.15,205.39,2075.5829411764707,3707.67,578.1335294117647,983.49,5.294117647058823,6.823529411764706,3,0,0,datanode_service,disk_write
blk_2784084578095654465,0.7676,HIGH,1,21,89.7804761904762,100.0,82.03809523809524,92.48,142.37714285714287,185.97,1821.035238095238,3060.37,522.7442857142856,1250.88,5.095238095238095,6.9523809523809526,3,0,0,datanode_service,disk_write
blk_3057845822257859655,0.766,HIGH,1,21,88.33952380952381,100.0,82.91190476190476,99.14,146.8995238095238,198.36,1948.7652380952381,3165.7,626.7,1066.61,5.333333333333333,6.476190476190476,3,0,0,datanode_service,disk_write
blk_6856243370314568565,0.7651,HIGH,1,20,86.7095,100.0,83.84349999999999,100.0,147.1885,190.51,1720.6675,2744.72,632.559,1204.47,5.45,6.3,4,0,1,namenode_service,block_operation
blk_8582970738191859541,0.765,HIGH,1,16,87.465625,100.0,83.78125,98.43,138.773125,181.49,1747.5306249999999,2973.81,620.895,1111.66,5.125,6.9375,5,0,2,datanode_service,disk_write
blk_8827951563980824329,0.7637,HIGH,1,13,87.77923076923078,100.0,83.55307692307693,100.0,135.2453846153846,173.15,1878.2753846153844,2821.77,712.1015384615384,1243.15,5.076923076923077,6.923076923076923,3,0,0,packet_responder,disk_write
